Inventory Report,Generated: 2026-06-16 03:46

Total Products,16
Total Value,"$197,334.20"
Low Stock,2
Out of Stock,0

Product Name,SKU,Quantity,Price,Value
Face Cream,N/A,150,$34.99,"$5,248.50"
Perfume,N/A,60,$89.99,"$5,399.40"
Green Tea,N/A,250,$9.99,"$2,497.50"
Adventure Game,N/A,5,$59.99,$299.95
Yoga Mat,N/A,180,$29.99,"$5,398.20"
Python Programming,N/A,150,$39.99,"$5,998.50"
The Great Novel,N/A,300,$19.99,"$5,997.00"
Wooden Desk,N/A,25,$299.99,"$7,499.75"
Office Chair,N/A,40,$199.99,"$7,999.60"
Leather Jacket,N/A,50,$149.99,"$7,499.50"
Running Shoes,N/A,100,$79.99,"$7,999.00"
Summer Dress,N/A,150,$49.99,"$7,498.50"
4K Monitor,N/A,35,$499.99,"$17,499.65"
MacBook Pro M3,N/A,30,"$1,999.99","$59,999.70"
Samsung Galaxy S24,N/A,45,$899.99,"$40,499.55"
iPhone 15 Pro,N/A,10,$999.99,"$9,999.90"
