Inventory Report,Generated: 2026-07-02 16:48

Total Products,32
Total Value,"$30,300,000.00"
Low Stock,4
Out of Stock,1

Product Name,SKU,Quantity,Price,Value
Olive Oil 1L,N/A,250,"$1,200.00","$300,000.00"
Honey 500g,N/A,200,$900.00,"$180,000.00"
Samsung Galaxy S24,N/A,45,"$100,000.00","$4,500,000.00"
Football,N/A,200,"$3,000.00","$600,000.00"
Python Programming,N/A,80,"$4,500.00","$360,000.00"
The Great Gatsby,N/A,200,"$2,000.00","$400,000.00"
LEGO Set,N/A,100,"$4,000.00","$400,000.00"
Sony WH-1000XM5,N/A,60,"$35,000.00","$2,100,000.00"
Adidas T-Shirt,N/A,120,"$5,000.00","$600,000.00"
Protein Powder,N/A,8,"$6,000.00","$48,000.00"
Green Tea 100pcs,N/A,400,$800.00,"$320,000.00"
Dumbbell Set 10kg,N/A,7,"$12,000.00","$84,000.00"
Kitchen Knife Set,N/A,70,"$8,000.00","$560,000.00"
Coffee Beans 1kg,N/A,300,"$1,500.00","$450,000.00"
PlayStation 5,N/A,30,"$50,000.00","$1,500,000.00"
Garden Plant Set,N/A,150,"$3,000.00","$450,000.00"
Levi's Jeans,N/A,100,"$8,000.00","$800,000.00"
iPhone 15 Pro,N/A,50,"$120,000.00","$6,000,000.00"
Tennis Racket,N/A,8,"$8,000.00","$64,000.00"
Nintendo Switch,N/A,0,"$35,000.00",$0.00
Vitamin C Serum,N/A,150,"$3,500.00","$525,000.00"
Nike Air Max,N/A,80,"$15,000.00","$1,200,000.00"
LED Floor Lamp,N/A,60,"$12,000.00","$720,000.00"
Organic Shampoo,N/A,200,"$2,000.00","$400,000.00"
Dune,N/A,100,"$2,500.00","$250,000.00"
Yoga Mat,N/A,120,"$2,500.00","$300,000.00"
Face Moisturizer,N/A,180,"$2,800.00","$504,000.00"
1984 by Orwell,N/A,150,"$1,800.00","$270,000.00"
Winter Jacket,N/A,40,"$25,000.00","$1,000,000.00"
Wooden Dining Table,N/A,20,"$45,000.00","$900,000.00"
MacBook Air M2,N/A,30,"$150,000.00","$4,500,000.00"
Chess Board,N/A,5,"$3,000.00","$15,000.00"
